"bi","Freq"
" Jóhann",5
" jóhhur",1
" Jón",3
" Jónas",4
" jú",28
" jæja",5
" kannske",1
" kapítalisti",1
" Karl",7
" kasta",1
" kaup",2
" kaupfélagsstjóri",1
" kaupmáttur",1
" Kjartan",4
" kjósa",3
" kjósandi",1
" kjósandur",4
" kjörbréf",2
" kjörbréfanefnd",6
" kjördagur",1
" kjördeild",1
" kjördæmabreyting",1
" kjördæmabyltingarmaður",1
" kjördæmamál",4
" kjördæmaskipun",2
" kjördæmi",1
" kjörorð",2
" kjörstjórn",1
" koma",8
" kommúnisminn",1
" kommúnisti",8
" kosinn",1
" kosning",25
" kosningafyrirkomulag",1
" Kosningalagafrv.",1
" kosningasamvinna",1
" kosningasigur",1
" krafa",2
" kunna",1
" kunnugur",1
" lag",4
" land",3
" landbúnaðarnefnd",2
" landshagur",1
" lang",1
" langflestur",2
" langur",1
" lausn",1
" lánsfjárhæð",1
" láta",1
" leggja",5
" leiða",2
" leikur",1
" leita",1
" lengi",1
" lesa",1
" lestrarsalagæsla",1
" leyfa",2
" listi",1
" lífsbarátta",1
" líking",1
" líklega",1
" lína",1
" lítið",1
" lítill",5
" ljós",2
" loks",2
" Lúðvík",7
" lýðræði",1
" lýsa",4
" lærður",1
" M.a.",1
" M.ö.o.",25
" maður",56
" Magnús",6
" Manni",2
" margt",2
" margur",13
" Matthías",4
" mál",13
" málgagn",1
" máltæki",1
" máske",3
" með",51
" meðal",3
" meðan",3
" mega",8
" megin",2
" meginástæða",1
" meginhluti",2
" meginregla",1
" meginstefna",1
" megn",1
" meina",1
" menntamálanefnd",2
" Menntmrh.",4
" mest",1
" miða",2
" miðlunartill",1
" miðvikudagur",1
" mikill",19
" milli",2
" minn",4
" minna",6
" minning",1
" mismunur",2
" mjög",3
" Morgunblaðið",2
" mór",1
" mótmæli",1
" muna",2
" munu",9
" munur",5
" mýr",2
" Mýr.",2
" mæla",2
" N-",1
" n--ísf",2
" N--Ísf.",2
" n--m",2
" N--M.",2
" n--þur",1
" n-ísf",6
" N-Ísf.",1
" n-m",30
" N-M.",13
" N-Þ.",3
" n-þur",10
" n.",4
" N.",10
" nasisti",2
" ná",2
" náið",1
" nákvæmlega",1
" náttúrlega",3
" Nd.",14
" nefnd",4
" nefndarkosning",2
" nefndarmaður",1
" nefndarskipun",1
" nefndur",1
" nei",99
" niðurstaða",2
" Nm.",1
" nokkur",6
" Norðmaður",3
" norður-þingeyinga",1
" norðurlandaþjóð",2
" nota",1
" nú",119
" núna",4
" núverandi",2
" nýr",1
" nýsköpunarstjórn",2
" nægja",1
" nærri",2
" nærtækur",1
" næstum",1
" næstur",5
" o-sussu-nei",1
" of",11
" oft",1
" og",688
" ojæja",2
" olía",1
" olíufélag",1
" orsök",1
" ó",1
" óbreyttur",2
" ógæfa",1
" Ólafur",8
" ónei",3
" Óskar",4
" ótti",1
" Páll",14
" Pétur",1
" pólitískur",1
" raforka",1
" ragnhildur",4
" rang",4
" Rang.",3
" raunar",1
" raunverulega",1
" raunverulegur",1
" Ráðh.",2
" ráðherra",1
" rekstrarfé",1
" Reykjavík",3
" reykjavíkurvald",1
" reykv",3
" Reykv.",368
" reyna",1
" reynsla",6
" rétt",2
" réttlátur",1
" réttlæti",2
" réttur",5
" ríki",4
" ríkisheild",1
" ríkisskattanefnd",1
" Ríkisstj.",3
" ríkisvald",1
" ríkur",1
" rísa",2
" ræða",4
" ræðumaður",1
" ræðuritun",1
" rök",3
" röksemdafærsla",1
" Rökst.",2
" s--m",2
" S--M.",2
" s-m",6
" S-M.",171
" S-Þ.",7
" s-þur",34
" samband",4
" samgöngumálanefnd",2
" samhliða",1
" sami",14
" samkomulag",1
" Samkv.",3
" samkvæmt",11
" samstilltur",1
" samt",6
" samur",2
" samvinna",1
" Samþ.",1
" samþykki",2
" samþykkja",1
" samþykkt",2
" sannleikur",17
" sannur",2
" sá",38
" sb",1
" Seðlabanki",1
" segja",27
" seinn",1
" seint",1
" sem",7
